,Ayasofya,Süleymaniye,Çengelköy,Bebek,Aşiyan,Rumeli Hisarı,Anadolu Hisarı,Kız Kulesi,Ortaköy,Galata Kulesi,Eminönü,Levent,Kadıköy,Beşiktaş
Ayasofya,0.0,1.3783332030932627,8.569126530120927,10.053788790562491,9.88533217790902,11.165401223523236,8.627970271987191,2.871446360229186,6.83331060032449,1.9115786205655447,0.12244880357546069,8.757631686670406,4.651366149955896,4.5381119054822046
Süleymaniye,1.3783332030932627,0.0,8.924460034730238,9.856417602990485,9.761469608619626,11.11264538694497,8.682893770260137,3.508153578170006,7.015572922570901,1.281605091995297,1.2941730883220235,8.379136178977788,5.978156611389531,4.59272662429628
Çengelköy,8.569126530120927,8.924460034730238,0.0,3.939149935630952,3.409760292044896,3.7942906389665585,1.9200720783198104,5.716276471437332,2.0829450817627566,7.74231612903775,8.500945719702642,4.612727894127451,7.559547166041939,4.430708265773371
Bebek,10.053788790562491,9.856417602990485,3.939149935630952,0.0,0.5471652201500782,1.6243333869337033,2.1431574877680495,7.638158981324951,3.804863149645872,8.576181919266743,9.951498772787824,1.863691646123386,10.647635557381092,5.556590776087045
Aşiyan,9.88533217790902,9.761469608619626,3.409760292044896,0.5471652201500782,0.0,1.4250572658005662,1.6742884103992557,7.383371453513148,3.437900201553898,8.47996758533515,9.786718834641277,2.1343125335760553,10.266733060670504,5.356658569551521
Rumeli Hisarı,11.165401223523236,11.11264538694497,3.7942906389665585,1.6243333869337033,1.4250572658005662,0.0,2.605214807495868,8.560758407481885,4.485440631099323,9.833255225745095,11.071275257347004,3.479313476483923,11.156008084913992,6.627854576047733
Anadolu Hisarı,8.627970271987191,8.682893770260137,1.9200720783198104,2.1431574877680495,1.6742884103992557,2.605214807495868,0.0,5.9665592755976995,1.8802596334472688,7.418384390958917,8.538838131480915,2.7286062591463964,8.63186601831427,4.114809570681381
Kız Kulesi,2.871446360229186,3.508153578170006,5.716276471437332,7.638158981324951,7.383371453513148,8.560758407481885,5.9665592755976995,0.0,4.105382934828757,2.6548857414301317,2.81440151833181,6.659160882456939,3.8793149576680945,2.173451718913996
Ortaköy,6.83331060032449,7.015572922570901,2.0829450817627566,3.804863149645872,3.437900201553898,4.485440631099323,1.8802596334472688,4.105382934828757,0.0,5.78741294505732,6.750703531862434,3.549005037021529,6.842776653808236,2.4335652886601653
Galata Kulesi,1.9115786205655447,1.281605091995297,7.74231612903775,8.576181919266743,8.47996758533515,9.833255225745095,7.418384390958917,2.6548857414301317,5.78741294505732,0.0,1.7892675250536065,7.118859136806203,5.8475859501023795,3.354560692430761
Eminönü,0.12244880357546069,1.2941730883220235,8.500945719702642,9.951498772787824,9.786718834641277,11.071275257347004,8.538838131480915,2.81440151833181,6.750703531862434,1.7892675250536065,0.0,8.646782271396324,4.7090114535512795,4.443434247190706
Levent,8.757631686670406,8.379136178977788,4.612727894127451,1.863691646123386,2.1343125335760553,3.479313476483923,2.7286062591463964,6.659160882456939,3.549005037021529,7.118859136806203,8.646782271396324,0.0,10.090401447475474,4.486700711236264
Kadıköy,4.651366149955896,5.978156611389531,7.559547166041939,10.647635557381092,10.266733060670504,11.156008084913992,8.63186601831427,3.8793149576680945,6.842776653808236,5.8475859501023795,4.7090114535512795,10.090401447475474,0.0,5.818374441264167
Beşiktaş,4.5381119054822046,4.59272662429628,4.430708265773371,5.556590776087045,5.356658569551521,6.627854576047733,4.114809570681381,2.173451718913996,2.4335652886601653,3.354560692430761,4.443434247190706,4.486700711236264,5.818374441264167,0.0
